Facility Name,Registration Number,County,Street Address,City,State,Zip Code,Contact Name,Contact Email,Phone Number,Extension,Website,Location 1
ecoComp,00880,Monroe,785 Spencerport Rd,Rochester,NY,14606,Evan Snow,,585-633-3886,,,"785 Spencerport Rd
Rochester, NY 14606
(43.171596, -77.71097)"
"Edison Electronics, Inc.",00402,Otsego,5375 New York 7,Oneonta,NY,13820,Ahren Edison,edisoncomputers@gmail.com,607-432-9311,,,"5375 New York 7
Oneonta, NY 13820
(42.457108, -75.035506)"
"Compass E-Tech, Inc.",01040,Suffolk,"100 Knickerbocker Avenue, Suite B",Bohemia,NY,11716,Customer Service Representative ,sales@compassetech.com,631-750-5556,,http://www.compassetech.com,"100 Knickerbocker Avenue, Suite B
Bohemia, NY 11716
(40.775352, -73.087328)"
Electronic Recycling Solutions,01056,Rensselaer,295 1st Street,Troy,NY,12180,VItaly Sandul,scottybro1@aol.com,518-598-6965,,,"295 1st Street
Troy, NY 12180
(42.719303, -73.69546)"
Advanced Recovery Inc,00028,Orange,41 Mechanic Street,Port Jervis,NY,12771,Mark Rea,bzaccari@advancedrecovery.com,845-858-8809,,http://advancedrecovery.com,"41 Mechanic Street
Port Jervis, NY 12771
(41.38152, -74.702521)"
Advanced Technology Recycling,01060,Erie,200 Fire Tower Drive,Tonawanda,NY,14150,Barb Ehresman,Barb@atrecycle.com,716-693-7779,,http://www.atrecycle.com,"200 Fire Tower Drive
Tonawanda, NY 14150
(42.991803, -78.908325)"
"Buffalo Computer Recycling, LLC",00927,Erie,934 Clinton Street ,Buffalo ,NY,14210,Steve Chumsky,purchasing@buffalocomputerrecycling.com,716-868-8640,,http://buffalocomputerrecycling.com,"934 Clinton Street
Buffalo, NY 14210
(42.879407, -78.83986)"
"First Class Aire, LLC dba First Class Services",00873,St. Lawrence,495 West Parishville Road,Potsdam,NY,13676,Lisa Clothier,Lisa@FirstClassNNY.com,315-265-1003,,http://www.firstclassnny.com,"495 West Parishville Road
Potsdam, NY 13676
(44.623496, -74.953227)"
"Garys Auto Parts, Inc",01022,Madison,651 Fitch Street,Oneida,NY,13421,Jim Clark,jimclark63@frontiernet.net,315-363-2240,,,"651 Fitch Street
Oneida, NY 13421
(43.09023, -75.671408)"
Maryhaven Center of Hope,00777,Suffolk,445 County Road 101,Yaphank,NY,11980,John Mahoney,john.mahoney@chsli.org,631-924-5900 ,,http://www.maryhaven.chsli.org,"445 County Road 101
Yaphank, NY 11980
(40.81606, -72.948985)"
EWASTE+,00138,Ontario,7318 Victor Mendon Road,Victor,NY,14564,Mike Whyte,mike@ewaste.com,585-924-3840,,http://www.ewaste.com,"7318 Victor Mendon Road
Victor, NY 14564
(42.994813, -77.433383)"
eLot Electronics Recycling,00030,Albany,64 Hannay Lane,Glenmont,NY,12077,Morris Freedman,Maish@elotrecycling.com,518-266-9385,,http://www.elotrecycling.com,"64 Hannay Lane
Glenmont, NY 12077
(42.624079, -73.785683)"
Finger Lakes Metal Resources,01148,Cayuga,359 Genesee Street,Auburn,NY,13021,Kristopher Lane,kris@flmetalresources.com,315-255-2500,,http://flmetalresources.com,"359 Genesee Street
Auburn, NY 13021
(42.91884, -76.593213)"
