Column1,Column2,Column3,Column4
,,,
TABLE 1,,,
,,,
UNU KEY,DESCRIPTION,EEE CATEGORY UNDER EU - 6,EEE CATEGORY UNDER EU - 10
0001,Central Heating ( household installed ),Large equipment,Large household appliances
0002,Photovoltaic Panels ( ind . inverters ),Large equipment,Consumer equipment
0101,Professional Heating & Ventilation ( excl . cooling equipment ),Large equipment,Large household appliances
0102,Dishwashers,Large equipment,Large household appliances
0103,"Kitchen equipment ( eg . large furnaces , ovens , cooking equipment )",Large equipment,Large household appliances
0104,"Washing Machines ( ind , combined dryers )",Large equipment,Large household appliances
0105,"Dryers ( wash dryers , centrifuges )",Large equipment,Large household appliances
0106,"Household Heating & Ventilation ( eg , hoods , ventilators , space heaters )",Large equipment,Large household appliances
0108,Fridges ( incl . combi Indges ),Temperature exchange equipment,Large household appliances
0109,Freezers,Temperature exchange equipment,Large household appliances
0111,Air Conditioners ( household installed and portable ),Temperature exchange equipment,Large household appliances
0112,"Other cooling equipment ( eg , dehumidifiers , heat pump dryers )",Temperature exchange equipment,Large household appliances
0113,"Professional cooling equipment
( eg , large air conditioners , cooling displays )",Temperature exchange equipment,Large household appliances
0114,"Microwaves ( inc , combined ex . grils )",Small equipment,Large household appliances
0201,"Other small household equipment
( e.g. small ventilators , irons , clocks , adapters )",Small equipment,Small household appliances
0202,"Equipment for food preparation
( e.g. toaster , grills , food processing , frying pans )",Small equipment,Small household appliances
0203,"Small household equipment for hot water preparation
( eg , coffee , tea , water cookers )",Small equipment,Small household appliances
0204,Vacuum Cleaners ( exc . professional ),Small equipment,Small household appliances
0205,"Personal Care equipment ( eg toothbrushes , hairdryers , razors )",Small equipment,Small household appliances
0301,"Small IT equipment
( eg , routers , mice , keyboards , external drives & accessories )",Small T,IT and telecommunications equipment
0302,"Desktop PCs ( excl monitors , accessories )",Small IT,IT and telecommunications equipment
0303,Laptops ( incl . tablets ),Screens and monitors,IT and telecommunications equipment
0304,"Printers ( e.g. scanners , multi - functionals , faxes )",Small IT,IT and telecommunications equipment
0305,"Telecommunication equipment ( e.g. cordless phones , answering machines )",Small IT,IT and telecommunications equipment
0306,"Mobile Phones ( ind , smartphones , pagers )",SmullIT,IT and telecommunications equipment
0307,"Professional IT equipment ( e.g. servers , routers , data storage , copiers )",Large equipment,IT and telecommunications equipment
0308,Cathode Ray Tube Monitors,Screens and monitors,IT and telecommunications equipment
0309,"Fat Display Panel Monitors ( LCD , LED )",Screens and monitors,IT and telecommunications equipment
0401,"Small Consumer Electronics ( eg , headphones , remote controls )",Small equipment,Consumer equipment
0402,"Portable Audio & Video ( eg MP3 , e - readers , carnavigation )",Small equipment,Consumer equipment
0403,"Music Instruments , Radio , Hi - Fi ( incl . audio sets )",Small equipment,Consumer equipment
0404,"Video ( eg Video recorders , DVD , Blue Ray , set - top boxes ) and projectors",Small equipment,Consumer equipment
0405,Speakers,Small equipment,Consumer equipment
0406,"Cameras ( eg , camcorders , photo & digital still cameras )",Small equipment,Consumer equipment
0407,Cathode Ray Tube TV's,Screens and monitors,Consumer equipment
0408,"Flat Display Panel TVs ( LCD , LED , Plasma )",Screens and monitors,Consumer equipment
0501,Small lighting equipment ( exd . LED & incandescent ),Small equipment,Lighting equipment
0502,Compact Fluorescent Lamps ( ind retrofit & non - retrofit ),Lamps,Lighting equipment
0503,Straight Tube Fluorescent Lamps,Lamps,Lighting equipment
0504,Special Lamps ( eg professional mercury high & low pressure sodium ),Lamps,Lighting equipment
0505,LED Lamps ( incl retrofit LED lamps ),Lamps,Lighting equipment
0506,"Household Luminaires ( ind , household incandescent fittings & household LED
Luminaires )",Small equipment,Lighting equipment
0507,"Professional Luminaires ( offices public space , industry )",Small equipment,Lighting equipment
UNU KEY,DESCRIPTION,EEE CATEGORY UNDER EU - 6,EEE CATEGORY UNDER EU - 10
0507,"Professional Luminaires ( offices , public space , industry )",Small equipment,Lighting equipment
0601,"Household Tools ( eg , drils , saws , high pressure cleaners , lawn mowers )",Small equipment,Electrical and electronic tools
0602,"Professional Tools ( eg , for welding , soldering , miling )",Large equipment,Electrical and electronic tools
0701,"Toys ( eg , car racing sets , electric trains , music toys .
biking computers , drones )",Small equipment,Toys
0702,Game Consoles,Small IT,Toys
0703,"Leisure equipment ( eg sports equipment , electric bikes , juke boxes )",Large equipment,Toys
0801,"Household medical equipment
( eg thermometers , blood pressure meters )",Small equipment,Medical devices
0802,"Professional medical equipment ( e.g. hospital , dentist , diagnostics )",Large equipment,Medical devices
0901,"Household Monitoring & Control equipment
( alarm , heat , smoke , excl screens )",Small equipment,Monitoring and control instruments
0902,"Professional Monitoring & Control equipment
( eg , laboratory , control panel )",Large equipment,Monitoring and control instruments
1001,"Non cooled Dispensers ( eg for vending , hot drinks , tickets , money )",Large equipment,Aut atic dispensers
1002,"Cooled Dispensers ( eg , for vending , cold drinks )",Temperature exchange equipment,Automatic dispensers
